"ROL4","AlternateDialectName","Source","EditName","EditDate"
691,"Sindhi","GRN / ROD","BM",4/1/2010 0:00:00
691,"Sindhi Musalmani","GRN / ROD","BM",4/1/2010 0:00:00
694,"Bima","GRN / ROD","BM",4/1/2010 0:00:00
696,"Tontemboa","GRN / ROD","BM",4/1/2010 0:00:00
696,"Tontemboan","GRN / ROD","BM",4/1/2010 0:00:00
701,"Mbeere","GRN / ROD","BM",4/1/2010 0:00:00
708,"Bawah","GRN / ROD","BM",4/1/2010 0:00:00
708,"Bungku","GRN / ROD","BM",4/1/2010 0:00:00
708,"Kolonodale","GRN / ROD","BM",4/1/2010 0:00:00
708,"Mori","GRN / ROD","BM",4/1/2010 0:00:00
709,"Sangihe","GRN / ROD","BM",4/1/2010 0:00:00
710,"Kolaka","GRN / ROD","BM",4/1/2010 0:00:00
711,"Toraja-sa'dan","GRN / ROD","BM",4/1/2010 0:00:00
713,"South Kitui","GRN / ROD","BM",4/1/2010 0:00:00
715,"Ende","GRN / ROD","BM",4/1/2010 0:00:00
717,"Ili'uun","GRN / ROD","BM",4/1/2010 0:00:00
723,"Bhadrawahi","GRN / ROD","BM",4/1/2010 0:00:00
724,"Surgujia","GRN / ROD","BM",4/1/2010 0:00:00
724,"Surjugia","GRN / ROD","BM",4/1/2010 0:00:00
725,"Màanjan","GRN / ROD","BM",4/1/2010 0:00:00
725,"Màanyan","GRN / ROD","BM",4/1/2010 0:00:00
727,"Dajak Ot-danum","GRN / ROD","BM",4/1/2010 0:00:00
727,"Udanum","GRN / ROD","BM",4/1/2010 0:00:00
729,"Chrao","GRN / ROD","BM",4/1/2010 0:00:00
729,"Jero","GRN / ROD","BM",4/1/2010 0:00:00
730,"Lach","GRN / ROD","BM",4/1/2010 0:00:00
730,"Lat","GRN / ROD","BM",4/1/2010 0:00:00
733,"Ambon","GRN / ROD","BM",4/1/2010 0:00:00
735,"Chil","GRN / ROD","BM",4/1/2010 0:00:00
735,"Kil","GRN / ROD","BM",4/1/2010 0:00:00
736,"Trinh","GRN / ROD","BM",4/1/2010 0:00:00
740,"Orau","GRN / ROD","BM",4/1/2010 0:00:00
741,"Berkua","GRN / ROD","BM",4/1/2010 0:00:00
742,"Banana'","GRN / ROD","BM",4/1/2010 0:00:00
742,"Banana'k","GRN / ROD","BM",4/1/2010 0:00:00
742,"Banane","GRN / ROD","BM",4/1/2010 0:00:00
742,"Bernanak","GRN / ROD","BM",4/1/2010 0:00:00
743,"Benyadù","GRN / ROD","BM",4/1/2010 0:00:00
743,"Benyadu Banyuke","GRN / ROD","BM",4/1/2010 0:00:00
743,"Bernjadu","GRN / ROD","BM",4/1/2010 0:00:00
744,"Berkati","GRN / ROD","BM",4/1/2010 0:00:00
744,"Larà","GRN / ROD","BM",4/1/2010 0:00:00
744,"Rara Bakati'","GRN / ROD","BM",4/1/2010 0:00:00
746,"Chattisgardi","GRN / ROD","BM",4/1/2010 0:00:00
746,"Chhattisgarhi","GRN / ROD","BM",4/1/2010 0:00:00
746,"Khatahi","GRN / ROD","BM",4/1/2010 0:00:00
747,"Hindi, Caribbean","GRN / ROD","BM",4/1/2010 0:00:00
749,"Chin, Falam","GRN / ROD","BM",4/1/2010 0:00:00
750,"Chorei","GRN / ROD","BM",4/1/2010 0:00:00
752,"Haihte","GRN / ROD","BM",4/1/2010 0:00:00
752,"Piate","GRN / ROD","BM",4/1/2010 0:00:00
752,"Siyin","GRN / ROD","BM",4/1/2010 0:00:00
752,"Sizang","GRN / ROD","BM",4/1/2010 0:00:00
756,"Tehri","GRN / ROD","BM",4/1/2010 0:00:00
757,"Central Vietnamese","GRN / ROD","BM",4/1/2010 0:00:00
759,"Chin-thado","GRN / ROD","BM",4/1/2010 0:00:00
