"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
12434,"Kajakse",,,,,,,,,104434,104434,158,"1.2",1,0.06,0.04,"Y","CD",1,36000,"ckq",6,"NAB60b",,,,,,"TW",10/4/2000 0:00:00
12435,"Bajju, Kaje",,,,,,,,,104436,104436,140,"3.2",5,78.00,18.00,,"NI",1,554000,"kaj",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12436,"Kako",,,,,,,,,104439,104439,334,"3.2",5,55.71,12.64,,"CM",3,182000,"kkj",1,"NAB57c",,,,,,"BM",11/12/2008 0:00:00
12437,"Kakanda",,,,,,,,,104441,104441,250,"1.2",1,2.50,0.20,"Y","NI",1,41000,"kka",6,"NAB59m",,,,,,"TW",10/4/2000 0:00:00
12438,"Kakihum",,,,,,,,,104443,104443,140,"3.1",4,15.00,4.00,,"NI",1,24000,"tvd",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12439,"Kakwa, Bari Kakwa",,,,,,,,,104446,104446,245,"3.2",4,68.14,9.84,,"UG",3,368000,"keo",1,"NAB62y",,,,,,"TW",10/4/2000 0:00:00
12440,"Murut, Kalabakan",,,,,,,,,104447,104447,155,"2.2",3,10.00,1.00,,"MY",1,3100,"kve",4,"MSY44z",,,,,,"TW",10/4/2000 0:00:00
12441,"Kalabari, Eastern Ijaw",,"Kalabari, Ijaw Oriental","Kalabari, Östliche Ijaw",,"Kalabari Ijaw de l'Est","Kalabari, Ijaw Timur",,,104448,104448,191,"3.2",5,96.08,31.97,,"NI",2,503000,"ijn",1,"NAB59i",,,,,,"BM",6/17/2003 0:00:00
12442,"Kelabit",,,,,,,,,104450,104450,155,"3.1",4,60.00,4.71,,"MY",2,5700,"kzi",1,"MSY44e",,,,,,"TW",10/4/2000 0:00:00
12443,"Kalabra",,,,,,,,,104451,104451,244,"3.1",4,68.00,5.00,,"ID",1,4200,"kzz",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
