"ROG5","ROG4","ISO-6","FlashMapID","JSMapIDDistrict","OmidCode","LocalCode","Adm2Name","Adm2Type","Adm2NameHindi","Adm2NameBengali","Population","AreaSqKM","Capital","Longitude","Latitude","FlashMapZoom","FlashMapZoomX","FlashMapZoomY","DisplayFirst","Comment","Source","EditName","EditDate"
"EI1801","EI18",,,,,,"Abbeylara",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1802","EI18",,,,,,"Aghaboy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1803","EI18",,,,,,"Agharra",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1804","EI18",,,,,,"Ardagh East",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1805","EI18",,,,,,"Ardagh West",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1806","EI18",,,,,,"Ballinalee",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1807","EI18",,,,,,"Ballinamuck East",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1808","EI18",,,,,,"Ballinamuck West",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1809","EI18",,,,,,"Ballymahon",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1810","EI18",,,,,,"Ballymuigh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1811","EI18",,,,,,"Breanrisk",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1812","EI18",,,,,,"Bunlahy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1813","EI18",,,,,,"Caldragh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1814","EI18",,,,,,"Cashel East",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1815","EI18",,,,,,"Cashel West",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1816","EI18",,,,,,"Cloondara",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1817","EI18",,,,,,"Cloonee",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1818","EI18",,,,,,"Columbkille",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1819","EI18",,,,,,"Coolamber",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1820","EI18",,,,,,"Corboy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1821","EI18",,,,,,"Creevy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1822","EI18",,,,,,"Crosagstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1823","EI18",,,,,,"Currygrane",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1824","EI18",,,,,,"Dalystown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1825","EI18",,,,,,"Doory",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1826","EI18",,,,,,"Drumgort",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1827","EI18",,,,,,"Drumlish",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1828","EI18",,,,,,"Drummeel",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1829","EI18",,,,,,"Firry",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1830","EI18",,,,,,"Forgney",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1831","EI18",,,,,,"Foxhall",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1832","EI18",,,,,,"Gelshagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1833","EI18",,,,,,"Granard Rural",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1834","EI18",,,,,,"Granard Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1835","EI18",,,,,,"Kilcommock",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1836","EI18",,,,,,"Kilglass",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1837","EI18",,,,,,"Killashee",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1838","EI18",,,,,,"Killoe",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1839","EI18",,,,,,"Knockanbaun",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1840","EI18",,,,,,"Ledwithstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1841","EI18",,,,,,"Lislea",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1842","EI18",,,,,,"Longford No. 1 Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1843","EI18",,,,,,"Longford No. 2 Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1844","EI18",,,,,,"Longford Rural (Part In Longford Rd)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1845","EI18",,,,,,"Longford Rural (Part In Longford Ud)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1846","EI18",,,,,,"Meathas Truim",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1847","EI18",,,,,,"Milltown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1848","EI18",,,,,,"Moatfarrell",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1849","EI18",,,,,,"Mountdavis",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1850","EI18",,,,,,"Moydow",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1851","EI18",,,,,,"Moyne",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1852","EI18",,,,,,"Mullanalaghta",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1853","EI18",,,,,,"Newgrove",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1854","EI18",,,,,,"Newtown Forbes",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1855","EI18",,,,,,"Rathcline",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1856","EI18",,,,,,"Sonnagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1901","EI19",,,,,,"Ardee Rural",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1902","EI19",,,,,,"Ardee Urban",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1903","EI19",,,,,,"Ballymascanlan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1904","EI19",,,,,,"Barronstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1905","EI19",,,,,,"Carlingford",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1906","EI19",,,,,,"Castlebellingham",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1907","EI19",,,,,,"Castlering",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1908","EI19",,,,,,"Castletown (Pt.)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1909","EI19",,,,,,"Clogher",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1910","EI19",,,,,,"Clonkeen",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1911","EI19",,,,,,"Collon",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1912","EI19",,,,,,"Creggan Upper",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1913","EI19",,,,,,"Darver",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1914","EI19",,,,,,"Dromin",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1915","EI19",,,,,,"Dromiskin",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1916","EI19",,,,,,"Drumcar",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1917","EI19",,,,,,"Drummullagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1918","EI19",,,,,,"Dundalk Rural (Pt.)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1919","EI19",,,,,,"Dundalk Urban District",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1920","EI19",,,,,,"Dunleer",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1921","EI19",,,,,,"Dysart",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1922","EI19",,,,,,"Faughart",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1923","EI19",,,,,,"Greenore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1924","EI19",,,,,,"Haggardstown (Pt.)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1925","EI19",,,,,,"Jenkinstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1926","EI19",,,,,,"Killanny",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1927","EI19",,,,,,"Louth",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1928","EI19",,,,,,"Mansfieldstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1929","EI19",,,,,,"Monasterboice",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1930","EI19",,,,,,"Mullary",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1931","EI19",,,,,,"Rathcor",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1932","EI19",,,,,,"Ravensdale",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1933","EI19",,,,,,"St. Peter's (Pt.)",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1934","EI19",,,,,,"Stabannan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI1935","EI19",,,,,,"Tallanstown",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
